Job Title,Company,Location,Skills / Tech Stack,Post Date
Administrative Assistant,TIMBERTEK,"دبي, دبي الإمارات العربية المتحدة","data entry, virtual assistant, teaching, education, marketing, exec, sys admin, finance, sales, medical, customer support, video, microsoft, ops, excel, technical, dev, digital nomad, admin, full time",2026-08-04
Assistant Area Sales & Customer Manager,Unilever,"Navi Mumbai, Navi Mumbai, Maharashtra, India","data entry, virtual assistant, teaching, education, marketing, exec, sys admin, finance, sales, medical",2026-08-03
Customer Support,Re Lytics Hires,"عسير, عسير السعودية","data entry, virtual assistant, teaching, education, marketing, exec, sys admin, finance, sales, medical, customer support, video, microsoft, ops, excel, technical, dev, digital nomad, admin, full time",2026-08-03
Entry Level Administrative Assistant,Re Lytics Hires,"أبو ظبي, أبو ظبي أبو ظبي الإمارات العربية المتحدة","data entry, virtual assistant, teaching, education, marketing, exec, sys admin, finance, sales, medical, customer support, video, microsoft, ops, excel",2026-08-03
Data Entry & Administrative Assistant,Re Lytics Hires,"أبو ظبي, أبو ظبي أبو ظبي الإمارات العربية المتحدة","data entry, virtual assistant, teaching, education, marketing, exec, sys admin, finance, sales, medical, customer support, video, microsoft, ops, excel, technical, dev, digital nomad",2026-08-03
Data Entry Administrator,PulseMediaNL,"الرياض, الرياض الرياض السعودية","data entry, infosec, education, customer support, dev, marketing, admin, microsoft, exec, content writing, ops, excel, digital nomad",2026-08-02
Strategic Account Executive,Unilever,"Kolkata, Kolkata, West Bengal, India","data entry, virtual assistant, teaching, education, marketing, exec, sys admin, finance, sales, medical, customer support, video, microsoft, ops, excel",2026-07-31
Phone Support Specialist Arabic,Revolut,"دبي, دبي الإمارات العربية المتحدة","data entry, infosec, education, customer support, dev, marketing, admin, microsoft, exec, content writing, ops, excel, digital nomad, project manager, supervisor, finance, legal, medical, speech, recruiter",2026-07-31
Data Analyst,Sparksoft Corporation,"Columbia, Columbia, Maryland, United States","design, music, customer support, travel, video, exec, content writing, ops, marketing, ads, digital nomad, hr, dev, consulting, technical, testing, payroll, education, virtual assistant, sales, medical, full time, analyst, infosec, python, java, scala, data science, excel, stats",2026-07-30
AI Trainer Freelance Data Annotator,Mindrift - Data annotation,Worldwide,"education, data annotation, content writing, part time, non tech",2026-07-30
Human Resources Specialist,Harvey Nash,"California, California, United States","testing, education, exec, content writing, marketing, part time, design, technical, coordinator, customer support, travel, microsoft, ops, excel, medical, digital nomad, consulting, supervisor, dev, speech, sys admin, analyst, finance, c, sales, recruiter, product manager, golang, engineer, full time, python, data annotation, linguistics, data science, junior, stats, internship, senior, hr, payroll",2026-07-30
Care Navigator Level 1,Ready,"Seattle, Seattle, Washington, United States","testing, education, exec, content writing, marketing, part time, design, technical, coordinator, customer support, travel, microsoft, ops, excel, medical, digital nomad, consulting, supervisor, dev, speech, sys admin, analyst, finance, c, sales, recruiter, product manager, golang, engineer, full time, python, data annotation, linguistics, data science, junior, stats, internship, senior",2026-07-29
Junior Data Analyst,HiredBuddy,"California, California, United States","testing, education, exec, content writing, marketing, part time, design, technical, coordinator, customer support, travel, microsoft, ops, excel, medical, digital nomad, consulting, supervisor, dev, speech, sys admin, analyst, finance, c, sales, recruiter, product manager, golang, engineer, full time, python, data annotation, linguistics, data science, junior, stats, internship",2026-07-28
Moderator of Orders Feed,inDrive,"Jakarta, Jakarta, Jakarta Raya, Indonesia","consulting, technical, strategy, virtual assistant, cloud, exec, saas, salesforce, hr, ops, c, data entry, infosec, education, customer support, marketing, admin, microsoft, excel, sys admin, video, speech, adult, content writing",2026-07-28
Data Analyst,YO AI Labs,"San Francisco, San Francisco, California, United States","analyst, technical, customer support, microsoft, exec, data science, excel",2026-07-28
Project Manager Supply Chain,Jabil,"New Delhi, New Delhi, Delhi, India","data entry, infosec, education, customer support, dev, marketing, admin, microsoft, exec, content writing, ops, excel, digital nomad, project manager, supervisor, finance, legal, medical",2026-07-28
